date,carmelo_full,carmelo_cur,team,record,conferece,proj_record,proj_diff,playoff_%,playoff_adj,finals_%,champion_%
2019-02-01,1797,1815,Warriors,36-15,West,61-21,+8.2,>99%,+55,73%,60%
2019-02-01,1688,1592,Thunder,32-18,West,52-30,+4.8,>99%,+38,12%,7%
2019-02-01,1687,1668,Raptors,37-16,East,58-24,+6.0,>99%,+43,38%,12%
2019-02-01,1680,1641,Rockets,29-21,West,49-33,+2.7,98%,+28,6%,3%
2019-02-01,1665,1582,Celtics,32-19,East,52-30,+6.1,>99%,+33,19%,5%
2019-02-01,1665,1659,Bucks,37-13,East,60-22,+8.5,>99%,+35,28%,7%
2019-02-01,1650,1681,76ers,34-18,East,54-28,+4.5,>99%,+26,14%,3%
2019-02-01,1639,1641,Jazz,29-23,West,50-32,+4.2,>99%,+49,5%,2%
2019-02-01,1629,1630,Nuggets,35-15,West,54-28,+4.8,>99%,+23,3%,2%
2019-02-01,1607,1318,Pelicans,23-29,West,40-42,+1.7,21%,+37,<1%,<1%
2019-02-01,1580,1496,Pacers,32-19,East,47-35,+2.5,>99%,+28,<1%,<1%
2019-02-01,1577,1535,Trail Blazers,32-20,West,48-34,+2.5,96%,+28,<1%,<1%
2019-02-01,1569,1414,Timberwolves,25-26,West,40-42,+0.0,21%,+12,<1%,<1%
2019-02-01,1564,1407,Lakers,27-25,West,41-41,-0.1,30%,+37,<1%,<1%
2019-02-01,1534,1455,Wizards,22-29,East,38-44,-1.6,53%,+34,<1%,<1%
2019-02-01,1516,1495,Spurs,31-22,West,45-37,+1.6,86%,+20,<1%,<1%
2019-02-01,1510,1484,Clippers,28-24,West,42-40,+0.1,44%,+15,<1%,<1%
2019-02-01,1503,1480,Grizzlies,20-32,West,35-47,-2.1,1%,+18,<1%,<1%
2019-02-01,1496,1358,Mavericks,23-28,West,35-47,-0.9,1%,-2,<1%,<1%
2019-02-01,1487,1467,Hornets,24-26,East,38-44,-0.9,57%,+32,<1%,<1%
2019-02-01,1483,1475,Pistons,22-28,East,38-44,-1.7,55%,+7,<1%,<1%
2019-02-01,1465,1472,Heat,24-25,East,37-45,-1.4,44%,+9,<1%,<1%
2019-02-01,1464,1446,Nets,28-25,East,40-42,-0.8,83%,+1,<1%,<1%
2019-02-01,1429,1443,Magic,21-31,East,33-49,-3.2,9%,+17,<1%,<1%
2019-02-01,1416,1416,Kings,26-25,West,37-45,-2.7,3%,+8,<1%,<1%
2019-02-01,1339,1319,Hawks,16-34,East,26-56,-7.0,<1%,+5,<1%,<1%
2019-02-01,1321,1289,Suns,11-42,West,19-63,-8.9,<1%,+19,<1%,<1%
2019-02-01,1304,1217,Bulls,12-40,East,19-63,-9.2,<1%,+35,<1%,<1%
2019-02-01,1300,1229,Cavaliers,11-41,East,19-63,-9.4,<1%,+1,<1%,<1%
2019-02-01,1299,1197,Knicks,10-40,East,19-63,-8.1,<1%,-26,<1%,<1%
2019-02-02,1803,1820,Warriors,36-15,West,61-21,+8.3,>99%,+55,75%,63%
2019-02-02,1695,1609,Thunder,33-18,West,53-29,+5.1,>99%,+36,13%,7%
2019-02-02,1686,1667,Raptors,37-16,East,58-24,+6.0,>99%,+43,37%,9%
2019-02-02,1676,1637,Rockets,29-22,West,49-33,+2.5,98%,+29,5%,3%
2019-02-02,1671,1635,Celtics,33-19,East,53-29,+6.4,>99%,+33,21%,5%
2019-02-02,1667,1662,Bucks,37-13,East,60-22,+8.5,>99%,+35,28%,7%
2019-02-02,1653,1681,76ers,34-18,East,54-28,+4.5,>99%,+26,14%,3%
2019-02-02,1634,1604,Nuggets,36-15,West,55-27,+4.9,>99%,+21,3%,1%
2019-02-02,1630,1634,Jazz,30-23,West,50-32,+4.1,99%,+48,3%,1%
2019-02-02,1609,1323,Pelicans,23-29,West,41-41,+1.8,24%,+37,<1%,<1%
2019-02-02,1582,1541,Trail Blazers,32-20,West,48-34,+2.5,95%,+28,<1%,<1%
2019-02-02,1570,1405,Pacers,32-19,East,46-36,+2.2,>99%,+28,<1%,<1%
2019-02-02,1569,1419,Timberwolves,25-26,West,40-42,+0.1,23%,+12,<1%,<1%
2019-02-02,1559,1405,Lakers,27-25,West,41-41,-0.3,27%,+37,<1%,<1%
2019-02-02,1537,1456,Wizards,22-29,East,38-44,-1.6,54%,+33,<1%,<1%
2019-02-02,1512,1492,Spurs,31-22,West,45-37,+1.5,84%,+20,<1%,<1%
2019-02-02,1508,1482,Clippers,28-24,West,42-40,+0.0,44%,+15,<1%,<1%
2019-02-02,1498,1375,Grizzlies,20-33,West,34-48,-2.2,<1%,+18,<1%,<1%
2019-02-02,1488,1328,Mavericks,23-28,West,35-47,-1.0,2%,+1,<1%,<1%
2019-02-02,1485,1461,Hornets,25-26,East,38-44,-0.9,62%,+28,<1%,<1%
2019-02-02,1481,1477,Pistons,22-28,East,38-44,-1.8,54%,+9,<1%,<1%
2019-02-02,1465,1449,Nets,28-25,East,40-42,-0.8,83%,+1,<1%,<1%
2019-02-02,1463,1467,Heat,24-26,East,37-45,-1.6,41%,+9,<1%,<1%
2019-02-02,1427,1442,Magic,21-31,East,33-49,-3.2,7%,+17,<1%,<1%
2019-02-02,1422,1422,Kings,26-25,West,37-45,-2.7,4%,+8,<1%,<1%
2019-02-02,1338,1318,Hawks,16-35,East,26-56,-7.0,<1%,+5,<1%,<1%
2019-02-02,1325,1296,Suns,11-42,West,19-63,-8.8,<1%,+19,<1%,<1%
2019-02-02,1310,1227,Bulls,12-40,East,19-63,-9.1,<1%,+36,<1%,<1%
2019-02-02,1305,1234,Cavaliers,11-41,East,20-62,-9.4,<1%,+1,<1%,<1%
2019-02-02,1299,1171,Knicks,10-41,East,19-63,-8.1,<1%,-23,<1%,<1%
2019-02-04,1802,1807,Warriors,37-15,West,61-21,+8.2,>99%,+55,74%,61%
2019-02-04,1696,1670,Thunder,33-19,West,53-29,+5.0,>99%,+39,13%,8%
2019-02-04,1690,1671,Raptors,38-16,East,59-23,+6.2,>99%,+42,37%,12%
2019-02-04,1678,1647,Rockets,30-22,West,50-32,+2.9,99%,+28,6%,3%
2019-02-04,1672,1672,Celtics,34-19,East,53-29,+6.4,>99%,+33,20%,4%
2019-02-04,1666,1666,Bucks,38-13,East,60-22,+8.7,>99%,+36,27%,7%
2019-02-04,1652,1687,76ers,34-19,East,54-28,+4.3,>99%,+29,15%,3%
2019-02-04,1633,1617,Nuggets,37-15,West,55-27,+4.9,>99%,+19,3%,1%
2019-02-04,1630,1629,Jazz,30-24,West,49-33,+3.7,98%,+49,3%,1%
2019-02-04,1606,1383,Pelicans,23-30,West,40-42,+1.8,17%,+39,<1%,<1%
2019-02-04,1582,1541,Trail Blazers,32-20,West,48-34,+2.5,96%,+28,<1%,<1%
2019-02-04,1572,1405,Pacers,33-19,East,47-35,+2.4,>99%,+28,<1%,<1%
2019-02-04,1566,1493,Timberwolves,25-27,West,40-42,+0.0,17%,+12,<1%,<1%
2019-02-04,1560,1488,Lakers,27-26,West,41-41,-0.2,26%,+38,<1%,<1%
2019-02-04,1534,1454,Wizards,22-30,East,37-45,-1.7,54%,+33,<1%,<1%
2019-02-04,1513,1513,Spurs,32-22,West,45-37,+1.4,87%,+20,<1%,<1%
2019-02-04,1510,1507,Clippers,29-25,West,43-39,+0.2,52%,+16,<1%,<1%
2019-02-04,1504,1457,Grizzlies,21-33,West,35-47,-2.0,<1%,+19,<1%,<1%
2019-02-04,1489,1443,Mavericks,24-28,West,36-46,-0.8,1%,+2,<1%,<1%
2019-02-04,1481,1453,Hornets,26-26,East,38-44,-1.0,67%,+28,<1%,<1%
2019-02-04,1475,1476,Pistons,22-29,East,37-45,-2.0,48%,+10,<1%,<1%
2019-02-04,1466,1446,Nets,28-26,East,39-43,-1.0,83%,+1,<1%,<1%
2019-02-04,1465,1466,Heat,24-27,East,36-46,-1.7,37%,+9,<1%,<1%
2019-02-04,1427,1427,Magic,22-31,East,34-48,-3.2,11%,+17,<1%,<1%
2019-02-04,1422,1422,Kings,27-25,West,38-44,-2.5,5%,+8,<1%,<1%
2019-02-04,1340,1320,Hawks,17-35,East,27-55,-6.8,<1%,+6,<1%,<1%
2019-02-04,1322,1304,Suns,11-43,West,19-63,-9.0,<1%,+18,<1%,<1%
2019-02-04,1309,1276,Bulls,12-41,East,19-63,-9.1,<1%,+36,<1%,<1%
2019-02-04,1303,1234,Cavaliers,11-42,East,19-63,-9.6,<1%,+1,<1%,<1%
2019-02-04,1297,1288,Knicks,10-42,East,18-64,-8.2,<1%,-24,<1%,<1%
2019-02-05,1800,1806,Warriors,37-15,West,61-21,+8.2,>99%,+54,75%,63%
2019-02-05,1694,1667,Thunder,33-19,West,53-29,+5.0,>99%,+37,12%,7%
2019-02-05,1687,1588,Raptors,38-16,East,58-24,+6.0,>99%,+41,34%,10%
2019-02-05,1678,1644,Rockets,31-22,West,50-32,+2.9,>99%,+28,7%,3%
2019-02-05,1676,1686,Bucks,39-13,East,61-21,+8.9,>99%,+37,33%,8%
2019-02-05,1671,1681,Celtics,34-19,East,53-29,+6.4,>99%,+32,19%,4%
2019-02-05,1652,1682,76ers,34-19,East,54-28,+4.4,>99%,+30,14%,2%
2019-02-05,1630,1586,Nuggets,37-16,West,55-27,+4.5,>99%,+17,2%,<1%
2019-02-05,1628,1626,Jazz,30-24,West,49-33,+3.6,98%,+51,3%,1%
2019-02-05,1604,1328,Pelicans,23-31,West,39-43,+1.7,13%,+38,<1%,<1%
2019-02-05,1577,1549,Trail Blazers,32-20,West,48-34,+2.4,96%,+18,<1%,<1%
2019-02-05,1571,1508,Pacers,34-19,East,48-34,+2.5,>99%,+31,<1%,<1%
2019-02-05,1567,1447,Timberwolves,25-27,West,40-42,+0.0,17%,+12,<1%,<1%
2019-02-05,1560,1485,Lakers,27-26,West,41-41,-0.2,29%,+37,<1%,<1%
2019-02-05,1535,1469,Wizards,22-31,East,37-45,-1.9,46%,+32,<1%,<1%
2019-02-05,1515,1496,Spurs,32-23,West,45-37,+1.3,85%,+21,<1%,<1%
2019-02-05,1509,1432,Grizzlies,21-33,West,35-47,-2.0,<1%,+20,<1%,<1%
2019-02-05,1506,1444,Clippers,29-25,West,43-39,+0.1,50%,+16,<1%,<1%
2019-02-05,1490,1446,Mavericks,24-28,West,36-46,-0.8,2%,+1,<1%,<1%
2019-02-05,1487,1487,Pistons,23-29,East,38-44,-1.6,60%,+11,<1%,<1%
2019-02-05,1485,1458,Hornets,26-26,East,38-44,-0.9,67%,+29,<1%,<1%
2019-02-05,1463,1434,Nets,28-27,East,39-43,-1.1,82%,+1,<1%,<1%
2019-02-05,1459,1460,Heat,24-27,East,36-46,-1.8,33%,+9,<1%,<1%
2019-02-05,1431,1453,Magic,22-31,East,34-48,-3.1,12%,+17,<1%,<1%
2019-02-05,1429,1429,Kings,28-25,West,39-43,-2.1,9%,+8,<1%,<1%
2019-02-05,1340,1319,Hawks,18-35,East,28-54,-6.6,<1%,+6,<1%,<1%
2019-02-05,1321,1310,Suns,11-44,West,18-64,-9.0,<1%,+17,<1%,<1%
2019-02-05,1305,1245,Bulls,12-41,East,19-63,-9.1,<1%,+36,<1%,<1%
2019-02-05,1299,1307,Knicks,10-42,East,19-63,-8.2,<1%,-30,<1%,<1%
2019-02-05,1288,1236,Cavaliers,11-42,East,18-64,-9.8,<1%,-9,<1%,<1%
2019-02-06,1800,1806,Warriors,37-15,West,61-21,+8.3,>99%,+54,77%,63%
2019-02-06,1696,1671,Thunder,34-19,West,53-29,+5.0,>99%,+37,11%,6%
2019-02-06,1690,1616,Raptors,39-16,East,59-23,+6.3,>99%,+41,34%,10%
2019-02-06,1678,1648,Rockets,31-22,West,50-32,+2.9,99%,+28,5%,3%
2019-02-06,1677,1704,76ers,34-20,East,54-28,+4.5,>99%,+20,17%,4%
2019-02-06,1676,1686,Bucks,39-13,East,61-21,+8.9,>99%,+37,32%,9%
2019-02-06,1669,1676,Celtics,35-19,East,54-28,+6.3,>99%,+32,17%,3%
2019-02-06,1628,1626,Jazz,30-24,West,49-33,+3.7,99%,+51,3%,1%
2019-02-06,1628,1583,Nuggets,37-16,West,55-27,+4.5,>99%,+17,2%,<1%
2019-02-06,1604,1328,Pelicans,23-31,West,39-43,+1.7,16%,+38,<1%,<1%
2019-02-06,1577,1516,Pacers,35-19,East,49-33,+3.1,>99%,+30,<1%,<1%
2019-02-06,1577,1577,Trail Blazers,32-21,West,48-34,+2.3,96%,+18,<1%,<1%
2019-02-06,1567,1433,Timberwolves,25-28,West,39-43,0.0,15%,+12,<1%,<1%
2019-02-06,1554,1496,Lakers,27-27,West,40-42,-0.7,24%,+30,<1%,<1%
2019-02-06,1535,1469,Wizards,22-31,East,37-45,-1.9,44%,+32,<1%,<1%
2019-02-06,1515,1496,Spurs,32-23,West,45-37,+1.3,86%,+21,<1%,<1%
2019-02-06,1508,1465,Grizzlies,22-33,West,36-46,-2.0,2%,+19,<1%,<1%
2019-02-06,1490,1446,Mavericks,24-28,West,36-46,-0.8,2%,+1,<1%,<1%
2019-02-06,1484,1459,Hornets,26-27,East,37-45,-1.0,59%,+29,<1%,<1%
2019-02-06,1480,1450,Clippers,30-25,West,42-40,-0.2,52%,+11,<1%,<1%
2019-02-06,1479,1479,Pistons,24-29,East,38-44,-1.5,61%,+9,<1%,<1%
2019-02-06,1465,1435,Nets,28-27,East,39-43,-1.1,82%,+1,<1%,<1%
2019-02-06,1458,1459,Heat,25-27,East,37-45,-1.6,42%,+8,<1%,<1%
2019-02-06,1433,1437,Magic,22-32,East,34-48,-3.0,11%,+17,<1%,<1%
2019-02-06,1427,1427,Kings,28-25,West,39-43,-2.2,10%,+8,<1%,<1%
2019-02-06,1340,1319,Hawks,18-35,East,27-55,-6.6,<1%,+6,<1%,<1%
2019-02-06,1321,1310,Suns,11-44,West,18-64,-9.0,<1%,+16,<1%,<1%
2019-02-06,1305,1245,Bulls,12-41,East,19-63,-9.1,<1%,+36,<1%,<1%
2019-02-06,1295,1307,Knicks,10-43,East,18-64,-8.4,<1%,-31,<1%,<1%
2019-02-06,1288,1191,Cavaliers,11-43,East,18-64,-9.7,<1%,-9,<1%,<1%
2019-02-07,1800,1807,Warriors,38-15,West,61-21,+8.5,>99%,+54,75%,61%
2019-02-07,1694,1669,Thunder,34-19,West,53-29,+5.1,>99%,+39,13%,7%
2019-02-07,1688,1620,Raptors,39-16,East,59-23,+6.3,>99%,+43,36%,11%
2019-02-07,1680,1645,Rockets,32-22,West,50-32,+3.2,>99%,+25,6%,3%
2019-02-07,1678,1679,Bucks,40-13,East,61-21,+9.0,>99%,+31,29%,8%
2019-02-07,1677,1705,76ers,34-20,East,54-28,+4.5,>99%,+20,17%,4%
2019-02-07,1669,1595,Celtics,35-19,East,54-28,+6.3,>99%,+32,18%,4%
2019-02-07,1628,1626,Jazz,31-24,West,49-33,+3.8,99%,+51,3%,1%
2019-02-07,1628,1614,Nuggets,37-17,West,54-28,+4.5,>99%,+17,3%,<1%
2019-02-07,1600,1299,Pelicans,24-31,West,40-42,+1.7,16%,+40,<1%,<1%
2019-02-07,1577,1516,Pacers,35-19,East,49-33,+3.2,>99%,+30,<1%,<1%
2019-02-07,1577,1577,Trail Blazers,32-21,West,48-34,+2.3,96%,+18,<1%,<1%
2019-02-07,1567,1433,Timberwolves,25-28,West,40-42,+0.1,17%,+12,<1%,<1%
2019-02-07,1554,1496,Lakers,27-27,West,40-42,-0.7,25%,+30,<1%,<1%
2019-02-07,1515,1439,Spurs,32-24,West,45-37,+1.0,87%,+21,<1%,<1%
2019-02-07,1508,1366,Grizzlies,22-33,West,36-46,-2.0,2%,+19,<1%,<1%
2019-02-07,1490,1444,Wizards,22-32,East,34-48,-2.8,24%,+17,<1%,<1%
2019-02-07,1488,1435,Mavericks,25-28,West,36-46,-0.9,2%,+7,<1%,<1%
2019-02-07,1484,1475,Hornets,26-28,East,37-45,-0.9,66%,+29,<1%,<1%
2019-02-07,1480,1450,Clippers,30-25,West,42-40,-0.1,51%,+11,<1%,<1%
2019-02-07,1465,1435,Nets,29-27,East,40-42,-1.0,91%,+1,<1%,<1%
2019-02-07,1454,1460,Pistons,24-29,East,37-45,-1.8,57%,+10,<1%,<1%
2019-02-07,1447,1447,Heat,25-27,East,36-46,-1.7,45%,-4,<1%,<1%
2019-02-07,1433,1455,Magic,22-32,East,34-48,-3.0,17%,+17,<1%,<1%
2019-02-07,1420,1420,Kings,28-26,West,38-44,-2.6,6%,+7,<1%,<1%
2019-02-07,1350,1335,Bulls,12-42,East,20-62,-8.3,<1%,+50,<1%,<1%
2019-02-07,1347,1295,Suns,11-45,West,19-63,-8.8,<1%,+28,<1%,<1%
2019-02-07,1340,1319,Hawks,18-35,East,27-55,-6.7,<1%,+6,<1%,<1%
2019-02-07,1291,1298,Knicks,10-43,East,18-64,-8.4,<1%,-27,<1%,<1%
2019-02-07,1279,1229,Cavaliers,11-43,East,18-64,-9.8,<1%,+7,<1%,<1%
2019-02-08,1801,1807,Warriors,38-15,West,61-21,+8.6,>99%,+52,75%,58%
2019-02-08,1713,1697,Bucks,40-13,East,62-20,+9.4,>99%,+35,39%,13%
2019-02-08,1698,1689,Raptors,40-16,East,60-22,+6.6,>99%,+65,40%,14%
2019-02-08,1696,1675,Thunder,35-19,West,53-29,+5.2,>99%,+36,12%,6%
2019-02-08,1678,1642,Rockets,32-22,West,50-32,+3.2,>99%,+28,6%,2%
2019-02-08,1673,1690,76ers,34-20,East,53-29,+4.2,>99%,+13,10%,2%
2019-02-08,1669,1636,Celtics,35-20,East,53-29,+6.2,>99%,+31,11%,3%
2019-02-08,1628,1617,Nuggets,37-17,West,54-28,+4.5,>99%,+17,3%,<1%
2019-02-08,1627,1625,Jazz,31-24,West,49-33,+3.8,99%,+50,3%,1%
2019-02-08,1584,1524,Pacers,36-19,East,49-33,+3.4,>99%,+21,<1%,<1%
2019-02-08,1579,1579,Trail Blazers,33-21,West,48-34,+2.3,97%,+19,<1%,<1%
2019-02-08,1565,1434,Timberwolves,25-29,West,39-43,+0.1,15%,+12,<1%,<1%
2019-02-08,1565,1377,Pelicans,24-31,West,39-43,+1.3,12%,+33,<1%,<1%
2019-02-08,1559,1526,Lakers,28-27,West,42-40,-0.5,41%,+32,<1%,<1%
2019-02-08,1510,1510,Spurs,32-25,West,45-37,+1.0,86%,+22,<1%,<1%
2019-02-08,1494,1452,Mavericks,25-28,West,37-45,-0.6,3%,—,<1%,<1%
2019-02-08,1493,1435,Grizzlies,22-34,West,35-47,-2.3,1%,+15,<1%,<1%
2019-02-08,1491,1445,Wizards,22-32,East,34-48,-2.8,21%,+17,<1%,<1%
2019-02-08,1484,1475,Hornets,26-28,East,37-45,-0.9,65%,+29,<1%,<1%
2019-02-08,1463,1439,Nets,29-27,East,40-42,-1.0,91%,—,<1%,<1%
2019-02-08,1459,1430,Clippers,30-26,West,42-40,-0.6,40%,+15,<1%,<1%
2019-02-08,1455,1461,Pistons,24-29,East,37-45,-1.9,55%,+10,<1%,<1%
2019-02-08,1448,1457,Magic,23-32,East,35-47,-2.6,26%,+14,<1%,<1%
2019-02-08,1446,1446,Heat,25-27,East,36-46,-1.8,43%,-4,<1%,<1%
2019-02-08,1417,1417,Kings,28-26,West,38-44,-2.6,7%,+8,<1%,<1%
2019-02-08,1350,1332,Bulls,12-42,East,20-62,-8.3,<1%,+42,<1%,<1%
2019-02-08,1344,1291,Suns,11-45,West,19-63,-8.7,<1%,+29,<1%,<1%
2019-02-08,1335,1332,Hawks,18-36,East,27-55,-6.9,<1%,+6,<1%,<1%
2019-02-08,1281,1231,Cavaliers,11-43,East,18-64,-9.7,<1%,+7,<1%,<1%
2019-02-08,1269,1274,Knicks,10-43,East,17-65,-8.7,<1%,-10,<1%,<1%
